year,international_reserves
1960,16.2
1961,37.2
1962,22.4
1963,18.6
1964,26.1
1965,14.9
1966,-26.1
1967,-30.2
1968,-15.5
1969,36.1
1970,183.5
1971,-28.5
1972,144.8
1973,93
1974,276.5
1975,-402.1
1976,-585.4
1977,-305.3
1978,-107.9
1979,1018.1
1980,1054.3
1981,-687.2
1982,121
1983,-24.9
1984,235.7
1985,367.8
1986,-535
1987,-914.7
1988,-395.3
1989,709.4
1990,173.7
1991,772.6
1992,697.1
1993,740.9
1994,2976
1995,923.2
1996,1899.69056
1997,1628.70032
1998,-985.62088
1999,-779.82526
2000,-223.6481
2001,433.361929999999
2002,984.7683
2003,596
2004,2437
2005,1466
2006,3178
2007,10414
2008,3507
2009,1939.12469
2010,10970.0518
2011,4710.85743
2012,15175.52088
2013,1671.655199
2014,-3354.994132
2015,-823.212752
2016,200.651801
2017,1935.506498
2018,-3499.779717
2019,8194.626461
2020,6391.016568
2021,3788.578927
2022,-6612.124866
